APN,Acreage,Address,Assessed Value,Asset Category,City,Coordinates,County,Land Use Description,Listed Owners,Market Value,State,Tax Year,ZIP
15-01-227-062-2003,0.01,30 S Main St,19404220.0,Public & Semi-Public,Salt Lake City,"[-111.8921470973, 40.7684656946]",Salt Lake County,Military Building,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",35280400.0,UT,2019,84101
216894,4.1165,3 Centerpointe Dr,21561984.0,Office,Lake Oswego,"[-122.740299659, 45.42392631]",Clackamas County,Office Building,Property Reserve Inc,34779445.0,OR,2019,97035
09-31-352-014-0000,2.04,50 E North Temple,33527500.0,Special Purpose,Salt Lake City,"[-111.8910870009, 40.7701120703]",Salt Lake County,Parking Structure,Corp Of Pb Of Ch Jc Of LDS,33527500.0,UT,2019,84150
08-36-479-002-0000,5.214,50 E North Temple,32398700.0,Special Purpose,Salt Lake City,"[-111.893123032, 40.7708705172]",Salt Lake County,Religious,"Salt Lake Tabernacle Corporation, Temple Salt Lake, Corporation Of The Presiding Bishop Of T",32398700.0,UT,2019,84150
216910,4.4158,1 Centerpointe Dr,18452010.0,Office,Lake Oswego,"[-122.738343738, 45.422127748]",Clackamas County,Office Building,Property Reserve Inc,31772809.0,OR,2019,97035
304-52-899,11.504,3301 S Greenfield Rd,4726845.0,Special Purpose,Gilbert,"[-111.737280223, 33.2914401722]",Maricopa County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",31512300.0,AZ,2019,85297
15-15-301-012-0000,28.0,1980 W Industrial Cir,30950400.0,Mixed Use,Salt Lake City,"[-111.9469467114, 40.7315061245]",Salt Lake County,Mixed Use: Office/Retail,Corp Of Pb Of Ch Jc Of LDS,30950400.0,UT,2019,84104
0229-321-19-0000,12.59,9345 Santa Anita Ave,30940272.0,Industrial,Rancho Cucamonga,"[-117.538095814, 34.083349922]",San Bernardino County,Warehouse,Property Reserve Inc,30940272.0,CA,2019,91730
1-5-5-006-030-0000,18.085,55 Kamehameha Hwy,30544300.0,Office,Laie,"[-157.9206877255, 21.6385595125]",Honolulu County,Office Building,"Polynesian Cultural Center Inc, Polenisian Cultural Center, Polynesian Cultural Center",30544300.0,HI,2019,96762
34-04-457-020-0000,5.12,14065 S Canyon Vista Ln,29443690.0,Special Purpose,Draper,"[-111.840613954, 40.4955912269]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,29443690.0,UT,2019,84020
08-36-476-005-0000,1.8914,120 N 200 W,29288300.0,Industrial,Salt Lake City,"[-111.896121295, 40.7721477632]",Salt Lake County,Warehouse,Corp Of Pres Bis Of The Ch Of J C Of L,29288300.0,UT,2019,84103
1-5-5-006-039-0000,5.9115,55 Kamehameha Hwy,28668600.0,Hospitality,Laie,"[-157.920141907, 21.641993409]",Honolulu County,Hotel,Property Reserve Inc,28668600.0,HI,2019,96762
0229-021-65-0000,15.08,12200 Arrow Rte,28159234.0,Industrial,Rancho Cucamonga,"[-117.537389019, 34.100257571]",San Bernardino County,Warehouse,Property Reserve Inc,28159234.0,CA,2019,91739
345-190-10-00,4.22,3655 Nobel Dr,27926734.0,Retail,San Diego,"[-117.227975614, 32.867685071]",San Diego County,Retail Stores,Property Reserve Inc,27926734.0,CA,2019,92122
072-0231-100-0000,44.38,20202 Folsom St,26722364.0,Special Purpose,Rancho Cordova,"[-121.1948034538, 38.6340570231]",Sacramento County,Religious,Corp Pres Sacto Stake Church LDS,26722364.0,CA,2019,95742
0238-101-69-0000,9.732,1200 Etiwanda Ave,26157429.0,Industrial,Ontario,"[-117.526771321, 34.050296669]",San Bernardino County,General Industrial,Property Reserve Inc,26157429.0,CA,2019,91761
4325-030-006,12.7872,10777 Santa Monica Blvd,25068117.0,Special Purpose,Los Angeles,"[-118.4337102884, 34.0524525613]",Los Angeles County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, Temple Corp of Church of Latte, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",25068117.0,CA,2019,90025
158093,18.618,5104 Chin Page Rd,24837629.0,Special Purpose,Durham,"[-78.837396691, 35.894259071]",Durham County,Marine Facility,Property Reserve Inc,24837629.0,NC,2019,27703
14-01-326-002-0000,22.0747,390 S 5200 W,24708400.0,Industrial,Salt Lake City,"[-112.0168244564, 40.7601955837]",Salt Lake County,Warehouse,Corp Of Pb Of Ch Jc Of LDS,24708400.0,UT,2019,84104
27-10-476-005-0000,14.62,10200 S Temple Dr,24553190.0,Special Purpose,South Jordan,"[-111.9315820695, 40.5661671071]",Salt Lake County,Religious,Temple Corp of Church of Latte,24553190.0,UT,2019,84095
R-2579-00A-0010-1,13.517,1520 Preston Rd,23984327.0,Multifamily,Plano,"[-96.793388434, 33.020561452]",Collin County,Multi Family (General),Property Reserve Inc,23984327.0,TX,2019,75093
08-36-478-015-0000,0.8911,35 N West Temple,23614900.0,Public & Semi-Public,Salt Lake City,"[-111.8945353263, 40.7701663724]",Salt Lake County,Library/Museum,Corp Of Pb Of Ch Jc Of LDS,23614900.0,UT,2019,84150
1-5-5-006-028-0000,23.757,55 Kamehameha Hwy,23272800.0,Retail,Laie,"[-157.9210538746, 21.6405363727]",Honolulu County,Retail Stores,"Polynesian Cultural Center Inc, Polenisian Cultural Center, Polynesian Cultural Center",23272800.0,HI,2019,96762
04-061-0048,9.07,640 Bountiful Blvd,22028363.0,Special Purpose,Bountiful,"[-111.8467775681, 40.8828557366]",Davis County,Religious,Temple Corp Of The LDS Church,22028363.0,UT,2019,84010
FARM-000063-000015A-000309-000002,11.16,2 Central Ave,21992960.0,Special Purpose,Bristol,"[-72.8436915324, 41.7369427089]",Hartford County,Religious,Temple Corp of Church of Latte,21992960.0,CT,2019,6010
02-28-302-004,21.9747,437 Tower Blvd,7146620.0,Industrial,Carol Stream,"[-88.105381132, 41.920536699]",Dupage County,General Industrial,Property Reserve Inc,21439860.0,IL,2018,60188
01-041-0001,4.96,2169 Grant Ave,11692468.0,Multifamily,Ogden,"[-111.973916748, 41.228487488]",Weber County,Multi Family (General),Property Reserve Inc,21259035.0,UT,2019,84401
1-2-4-010-047-0000,1.5642,1460 S Beretania St,20440400.0,Retail,Honolulu,"[-157.83720866, 21.299904803]",Honolulu County,Retail Stores,Property Reserve Inc,20440400.0,HI,2019,96814
1-1118-1,0.6887,125 Columbus Ave,8809200.0,Special Purpose,New York,"[-73.9813890336, 40.7732523612]",New York County,Religious,"Southeast Commercial Llc, Two Lincoln Square Associatesll, American Folk Art Museum, Church Of Latter Day Saints, Corporation of The Presiding Bishop",19576000.0,NY,2019,10023
27-31-476-001-0000,42.24,4158 W 13400 S,26020.0,Vacant Land,Riverton,"[-111.9898658443, 40.509974228]",Salt Lake County,Commercial Vacant Land,Suburban Land Reserve Inc,19319700.0,UT,2019,84065
08-36-478-018-0000,1.4019,122 W South Temple,12531360.0,Hospitality,Salt Lake City,"[-111.8952359105, 40.7697589677]",Salt Lake County,Hotel,Deseret Title Holding Corp,18986900.0,UT,2019,84101
112405-9091,17.9771,2808 148Th Se Ave,18852800.0,Special Purpose,Bellevue,"[-122.1409872635, 47.5840126263]",King County,Religious,"Church of Jesus Christ LDS, Church of Jesus Christ-Lds",18852800.0,WA,2019,98007
047-120-023-000,570.82,6152 Anita Rd,18565573.0,Agricultural,Chico,"[-121.9838088888, 39.8035825086]",Butte County,Orchard,Farmland Reserve Inc,18565573.0,CA,2019,95973
057-00-00-006.00,2300.92,Boddie Rd,1374611.0,Vacant Land,Herndon,"[-87.6007583068, 36.6666271458]",Christian County,Residential Vacant Land,Farmland Reserve Inc,18436432.0,KY,2019,42236
590-025-03,11.3,15791 Rockfield Blvd,18307985.0,Industrial,Irvine,"[-117.718864847, 33.632946646]",Orange County,Industrial Park,Property Reserve Inc,18307985.0,CA,2019,92618
14-25-430-005-0000,3.0,4980 W 3285 S,16401590.0,Special Purpose,West Valley,"[-112.0100197899, 40.7013238606]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,16401590.0,UT,2019,84120
09-31-380-031-0000,0.068,109 E South Temple,9648514.0,Mixed Use,Salt Lake City,"[-111.887766464, 40.769779011]",Salt Lake County,Mixed Use: Office/Retail,Property Reserve Inc,16393580.0,UT,2019,84111
27-31-301-001-0000,35.64,4636 W 13400 S,21950.0,Agricultural,Riverton,"[-112.0018491962, 40.5134879375]",Salt Lake County,Agricultural,Suburban Land Reserve Inc,16301000.0,UT,2019,84096
08-36-476-055-0000,3.73,131 W 200 N,16237600.0,Multifamily,Salt Lake City,"[-111.895978112, 40.773056559]",Salt Lake County,Multi Family (General),Property Reserve Inc,16237600.0,UT,2019,84103
R1655912,11.4991,2180 Majestic Dr,4478299.0,Special Purpose,Fort Collins,"[-105.0378515273, 40.493675814]",Larimer County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, Temple Corp of Church of Latte, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",15442410.0,CO,2019,80528
887980-0110,8.4056,23430 64Th Ave S,15411200.0,Industrial,Kent,"[-122.253534574, 47.391027762]",King County,General Industrial,Property Reserve Inc,15411200.0,WA,2019,98032
1-2-4-010-002-0000,1.2058,1450 S Beretania St,15399300.0,Office,Honolulu,"[-157.837803716, 21.300069453]",Honolulu County,Office Building,Property Reserve Inc,15399300.0,HI,2019,96814
02-3211-001-0770,1.4205,6950 Indian Creek Dr,9619322.0,Special Purpose,Miami Beach,"[-80.1244446044, 25.8545830599]",Miami-Dade County,Religious,Corporation of The Presiding Bishop,15023235.0,FL,2019,33141
029-1009-012-09,10.7072,4780 Lincoln Ave,14826337.0,Special Purpose,Oakland,"[-122.1985880813, 37.8076357091]",Alameda County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",14826337.0,CA,2019,94602
047-540-002-000,2153.72,13050 Gianella Rd,14822158.0,Agricultural,Chico,"[-122.0130076543, 39.771872131]",Butte County,Orchard,Farmland Reserve Inc,14822158.0,CA,2019,95973
132-48-119,3.1596,1000 S Mcallister Ave,2170260.0,Special Purpose,Tempe,"[-111.9294893159, 33.419063461]",Maricopa County,Religious,Church Jesus Christ LDS Corp Pres Bishop,14468400.0,AZ,2019,85281
1-9-2-027-129-0000,5.0,92 Makakilo Dr,14457600.0,Special Purpose,Kapolei,"[-158.0875893844, 21.3549060838]",Honolulu County,Religious,Church of Jesus Christ-Lds,14457600.0,HI,2019,96707
R01985,3815.74,,2475892.0,Agricultural,,"[-119.5271284804, 45.7688390991]",Morrow County,Farm,Farmland Reserve Inc,14370790.0,OR,2019,
27-05-400-038-0000,4.6,3431 W Wights Fort Rd,14349290.0,Public & Semi-Public,West Jordan,"[-111.9723816333, 40.5846979897]",Salt Lake County,School,Corp Of Pb Of Ch Jc Of LDS,14349290.0,UT,2019,84088
16-06-102-023-0000,1.15,143 E Social Hall Ave,13760400.0,Retail,Salt Lake City,"[-111.88673, 40.768509]",Salt Lake County,Retail Stores,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",13760400.0,UT,2019,84111
00025-00300-00000-000000,4519.62,,291460.0,Agricultural,,"[-95.749480296, 31.563797901]",Leon County,Agricultural,Farmland Reserve Inc,13570100.0,TX,2019,
15-01-227-062-2001,0.01,50 S Main St,13557200.0,Special Purpose,Salt Lake City,"[-111.8914948241, 40.7684968913]",Salt Lake County,Parking Structure,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints, Rocky Mountain Chocolate Factory At City Creek Center",13557200.0,UT,2019,84101
5040-026-044,1.9292,3115 S Vermont Ave,13543769.0,Special Purpose,Los Angeles,"[-118.2922497781, 34.0259672722]",Los Angeles County,Religious,The Church of Jesus Christ,13543769.0,CA,2019,90007
0174-192-43-0000,5.08,1761 5Th Ave,13120370.0,Special Purpose,Redlands,"[-117.1405005114, 34.0496936545]",San Bernardino County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",13120370.0,CA,2019,92374
16-06-151-023-0000,0.56,135 S Regent St,12976000.0,Retail,Salt Lake City,"[-111.889535244, 40.765765618]",Salt Lake County,Retail Stores,Property Reserve Inc,12976000.0,UT,2019,84111
33-23-13-0000-00-001,3405.48,3500 Taylor Creek Rd,272432.0,Agricultural,Christmas,"[-80.9774688352, 28.4834605094]",Orange County,Pasture,Farmland Reserve Inc,12867651.0,FL,2019,32709
00024-00200-00000-000000,4167.44,,268620.0,Agricultural,,"[-95.7417356027, 31.5863045503]",Leon County,Agricultural,Farmland Reserve Inc,12512560.0,TX,2019,
1000-000-001-00212-000-0102,1.8432,111 N Avenue 111 Ave,306650.0,Special Purpose,New Rochelle,"[-73.7778286593, 40.907235293]",Westchester County,Religious,Corporation of The Presiding Bishop,12315261.0,NY,2019,10801
461-350-07-00,9.42,S Camino Del Rio S,12047765.0,Special Purpose,San Diego,"[-117.102360869, 32.7765834574]",San Diego County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",12047765.0,CA,2019,92108
03-1032-29-4-04-01-0000,8.824,3100 Rim Point Dr,12013445.0,Special Purpose,Billings,"[-108.6388055327, 45.8004364891]",Yellowstone County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, Temple Corp of Church of Latte, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",12013445.0,MT,2019,59106
33-05-100-026-0000,26.92,13589 S 4000 W,11778500.0,Vacant Land,Salt Lake City,"[-111.9844130026, 40.505498318]",Salt Lake County,Commercial Vacant Land,Corp Of Pb Of Ch Jc Of LDS,11778500.0,UT,2019,84150
029-1009-012-10,7.4528,4786 Lincoln Ave,11740774.0,Special Purpose,Oakland,"[-122.1990040114, 37.80929928]",Alameda County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",11740774.0,CA,2019,94602
458-153-13,5.3593,2300 Bonita Canyon Dr,11634350.0,Special Purpose,Newport Beach,"[-117.8484169147, 33.6297270817]",Orange County,Special Purpose (General),"Church Temple Corp Of, Jesus Christ Of LDS",11634350.0,CA,2019,92660
190847,64.96,,11318632.0,Vacant Land,Monroe,"[-123.4084735129, 44.3260197251]",Benton County,General Vacant Land,Lds Church,11318632.0,OR,2019,97456
16-06-101-027-0000,0.1409,79 S Main St,11167700.0,Mixed Use,Salt Lake City,"[-111.8906979786, 40.7674434112]",Salt Lake County,Mixed Use: Office/Retail,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",11167700.0,UT,2019,84111
77-2230200,1.5983,1739 Vine St,11132900.0,Vacant Land,Philadelphia,"[-75.1680615355, 39.9591908476]",Philadelphia County,Residential Vacant Land,"Latter Day Saints, Temple Corp of Church of Latte, Latter Day Saints Church",11132900.0,PA,2019,19103
23-030-0095,28.7267,,12210.0,Vacant Land,Springville,"[-111.644995385, 40.165851943]",Utah County,General Vacant Land,Property Reserve Inc,11121400.0,UT,2019,84663
073-210-42-01-4,58.67,16350 Driver Rd,11078946.0,Agricultural,Bakersfield,"[-119.2018602614, 35.5612692989]",Kern County,Food Processing,Farmland Reserve Inc,11078946.0,CA,2019,93308
32-23-31-0000-00-002,201.29,14850 Aerospace Pkwy,2706829.0,Agricultural,Orlando,"[-81.1518628556, 28.4472075183]",Orange County,Pasture,Suburban Land Reserve Inc,10929343.0,FL,2019,32832
R212063,1.44,1975 Se 30Th Ave,,Special Purpose,Portland,"[-122.6354374238, 45.5088329042]",Multnomah County,Religious,Corporation of The Presiding Bishop,10819620.0,OR,2019,97214
2489-13-109-00-0014-0,3.73,160 Washington Ave,108099.0,Special Purpose,Plainview,"[-73.4617756245, 40.7826286053]",Nassau County,Religious,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Church of Jesus Christ Latter Day Saints, Corporation Of The Presiding Bishop Of T",10809900.0,NY,2019,11803
0251-321-34-0000,6.39,16593 Valley Blvd,10790879.0,Retail,Fontana,"[-117.4433750136, 34.0692641558]",San Bernardino County,Retail Stores,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Corporation of The Presiding Bishop",10790879.0,CA,2019,92335
15-17-300-001-0000,27.7,3880 W 1820 S,10728700.0,Public & Semi-Public,Salt Lake City,"[-111.9834072734, 40.732038693]",Salt Lake County,Tax Exempt,Corp Of Pb Of Ch Jc Of LDS,10728700.0,UT,2019,84104
45344.9127,17.57,13608 E 40Th Ave,10626600.0,Special Purpose,Spokane Valley,"[-117.2197652436, 47.6195423907]",Spokane County,Religious,Church Of Christ LDS,10626600.0,WA,2019,99206
08-36-478-014-0000,1.5517,45 N West Temple,10416100.0,Mixed Use,Salt Lake City,"[-111.8945640596, 40.7710486075]",Salt Lake County,Mixed Use: Office/Retail,Corp Of Pb Of Ch Jc Of LDS,10416100.0,UT,2019,84150
219-030-48-00,7.14,2580 Pioneer Ave,10384918.0,Industrial,Vista,"[-117.2201337219, 33.146744874]",San Diego County,Warehouse,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Property Reserve Inc",10384918.0,CA,2019,92081
0903-0000-0046,0.3922,522 7Th Se St,10330620.0,Special Purpose,Washington,"[-76.9958128909, 38.8821162296]",District Of Columbia,Religious,"Offices Boards & Divisions, Government of The United States, Tax Division, United States Department of Justice",10330620.0,DC,2019,20003
445-081-05,3.7,2021 Business Center Dr,10312453.0,Office,Irvine,"[-117.857657833, 33.678832288]",Orange County,Office Building,Property Reserve Inc,10312453.0,CA,2019,92612
BELM-000066-000023-A000000,7.777,100 Hinckley Way,10290000.0,Public & Semi-Public,Belmont,"[-71.1874995673, 42.4115232204]",Middlesex County,Tax Exempt,"Church of Jesus Christ, North Stake Family History Center",10290000.0,MA,2019,2478
30-4005-044-0010,5.0219,9900 W Flagler St,10279885.0,Special Purpose,Miami,"[-80.3569281058, 25.768228732]",Miami-Dade County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",10279885.0,FL,2019,33174
5-1992-50,1.7232,911 Rockland Ave,4620600.0,Special Purpose,Staten Island,"[-74.1485793241, 40.5898085134]",Richmond County,Religious,Corp Of The Presiding Bishop,10268000.0,NY,2019,10314
01-040-0003,9.95,350 E 22Nd St,10267642.0,Commercial General/Misc.,Ogden,"[-111.9715254798, 41.2281814206]",Weber County,Commercial (General),"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",10267642.0,UT,2019,84401
